ContractMonth,SpecialQuotationDay,FinalSettlementPrice
2000-01,2000-01-14,18967.5
2000-02,2000-02-10,19757.3
2000-03,2000-03-10,20129.2
2000-04,2000-04-14,20305.6
2000-05,2000-05-12,17315.7
2000-06,2000-06-09,16674.8
2000-07,2000-07-14,16987.7
2000-08,2000-08-11,15768.1
2000-09,2000-09-08,16364.9
2000-10,2000-10-13,15179.2
2000-11,2000-11-10,14868.1
2000-12,2000-12-08,14618.2
2001-01,2001-01-12,13245.5
2001-02,2001-02-09,13213.1
2001-03,2001-03-09,12469.7
2001-04,2001-04-13,13516.3
2001-05,2001-05-11,14065.1
2001-06,2001-06-08,13435.2
2001-07,2001-07-13,12389.6
2001-08,2001-08-10,11665.0
2001-09,2001-09-14,9543.64
2001-10,2001-10-12,10704.2
2001-11,2001-11-09,10389.0
2001-12,2001-12-14,10537.6
2002-01,2002-01-11,10565.4
2002-02,2002-02-08,9606.35
2002-03,2002-03-08,11778.7
2002-04,2002-04-12,11013.0
2002-05,2002-05-10,11559.9
2002-06,2002-06-14,11157.5
2002-07,2002-07-12,10681.9
2002-08,2002-08-09,9843.44
2002-09,2002-09-13,9225.41
2002-10,2002-10-11,8528.91
2002-11,2002-11-08,8776.91
2002-12,2002-12-13,8678.41
2003-01,2003-01-10,8581.18
2003-02,2003-02-14,8645.24
2003-03,2003-03-14,7947.44
2003-04,2003-04-11,7961.98
2003-05,2003-05-09,8111.37
2003-06,2003-06-13,8928.56
2003-07,2003-07-11,9786.72
2003-08,2003-08-08,9251.99
2003-09,2003-09-12,10726.1
2003-10,2003-10-10,10592.0
2003-11,2003-11-14,10306.4
2003-12,2003-12-12,10145.9
2004-01,2004-01-09,10978.8
2004-02,2004-02-13,10394.2
2004-03,2004-03-12,11104.7
2004-04,2004-04-09,12031.6
2004-05,2004-05-14,10835.8
2004-06,2004-06-11,11594.7
2004-07,2004-07-09,11232.0
2004-08,2004-08-13,10856.6
2004-09,2004-09-10,11067.3
2004-10,2004-10-08,11311.7
2004-11,2004-11-12,10824.4
2004-12,2004-12-10,10728.5
2005-01,2005-01-14,11341.2
2005-02,2005-02-10,11413.7
2005-03,2005-03-11,11841.4
2005-04,2005-04-08,11871.5
2005-05,2005-05-13,11038.2
2005-06,2005-06-10,11139.3
2005-07,2005-07-08,11590.4
2005-08,2005-08-12,12273.1
2005-09,2005-09-09,12610.0
2005-10,2005-10-14,13642.5
2005-11,2005-11-11,14200.6
2005-12,2005-12-09,15046.1
2006-01,2006-01-13,16535.9
2006-02,2006-02-10,16525.9
2006-03,2006-03-10,16001.8
2006-04,2006-04-14,17389.3
2006-05,2006-05-12,16580.9
2006-06,2006-06-09,14454.9
